	il2
	il5
	ili5
	illat
	im
	ima
	in
	in4
	inanna
	inim
	ip
	iq
	ir
	ir3
	iri
	is
	is,
	is2
	isz
	isz2
	isz3
	iszkur
	isztar
	it
	it,
	iti
	iz
	ka
	ka2
	ka3
	kab
	kak
	kal
	kal2
	kam
	kan
	kan2
	kar
	kar2
	kar3
	kasz
	ke
	ke2
	ki
	ki2
	ki3
	ki5
	kis2
	kiszib
	kiszib3
	ku
	ku2
	ku3
	ku5
	ku6
	kul
	kul2
	kum
	kur
	kur2
	la
	la2
	la5
	lal2
	lal3
	lam
	lam2
	lam5
	lamma
	le
	le2
	li
	li2
	li3
	lih
	lik
	lil2
	lim
	lim3
	limmu2
	liq
	lu
	lu2
	lugal
	luh
	lum
	lum2
	ma
	ma2
	mah
	mar
	marduk
	mas
	masz
	masz2
	maszkim
	maszkim3
	me
	mesz
	mi
	mi2
	mi3
	mu
	mun
	munus
	mur
	musz
	n
	na
	na2
	na4
	na_
	nah
	nam
	nam3
	nanna
	ne
	ne2
	ni
	ni3
	ni7
	nidaba
	nig2
	nigar
	nim
	nimgir
	nin
	ninda
	nirah
	nis
	nu
	num
	num2
	nun
	pa
	pa2
	pa3
	pa4
	par
	par2
	pe
	pe2
	pe3
	pi
	pi2
	pi3
	pu
	pur
	puzur2
	puzur4
	qa
	qa2
	qa3
	qal
	qam
	qam2
	qar
	qe
	qe2
	qe3
	qer
	qi
	qi2
	qi3
	qu
	qu2
	qul
	qul2
	qum
	qur
	qur2
	ra
	ra2
	ram
	re
	ri
	rik
	rim
	ru
	rum
	ruq
	s
	s,a
	s,a3
	s,ar
	s,e
	s,e2
	s,i
	s,i2
	s,ir
	s,u
	s,u2
	s,um
	s,ur
	s,ur2
	sa
	sa2
	sa3
	sag
	sag10
	saga
	sahar
	sal
	sal2
	sar
	se
	se2
	sea
	ser2
	si
	si2
	sig17
	sig17_
	sig2
	sig4
	sig5
	siki
	sikil
	sila3
	silim
	sipa
	siz
3	siz
	sou
	su
	su2
	su3
	suen
	sukkal
	sum
	sum2
	sur
	sza
	sza2
	sza3
	szah2
	szal
	szal2
	szar
	szar2
	szat
	sze
	sze2
	sze3
	szesz
	szi
	szi2
	szi3
	szid
